Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.218,7.54886725917459E-03,4.59801545366645E-03,-2.80172593193129E-04
0.22,7.68668577075005E-03,4.72498824819922E-03,-2.85353366052732E-04
0.222,7.82571546733379E-03,4.85427072271705E-03,-2.90581519948319E-04
0.224,7.96594843268394E-03,4.98587731271982E-03,-2.95856763841584E-04
0.226,8.10739118605852E-03,5.11983502656221E-03,-3.01179388770834E-04
0.228,8.25003534555435E-03,5.25615876540542E-03,-3.06549074593931E-04
0.23,8.39388370513916E-03,5.39487088099122E-03,-3.1196596683003E-04
0.232,8.5389306768775E-03,5.53599558770657E-03,-3.17426398396492E-04
0.234,8.68517998605967E-03,5.67954545840621E-03,-3.22937499731779E-04
0.236,8.83262697607279E-03,5.82554610446095E-03,-3.28495691064745E-04
0.238,8.98126699030399E-03,5.97401475533843E-03,-3.34108655806631E-04
0.24,9.1311065480113E-03,6.12497329711914E-03,-3.39761172654107E-04
0.242,9.2821391299367E-03,6.27844128757715E-03,-3.45460663083941E-04
0.244,9.43436287343502E-03,6.4344396814704E-03,-3.51207156199962E-04
0.246,9.58777870982885E-03,6.59298757091165E-03,-3.5700062289834E-04
0.248,9.74238011986017E-03,6.75410637632012E-03,-3.62841004971415E-04
0.25,9.8981698974967E-03,6.91781379282475E-03,-3.68728273315355E-04
0.252,1.00551461800933E-02,7.08413263782859E-03,-3.74662486137822E-04
0.254,1.02133089676499E-02,7.25308386608958E-03,-3.80643701646477E-04
0.256,1.03726498782635E-02,7.4246833100915E-03,-3.86671512387693E-04
0.258,1.05331744998693E-02,7.59895658120513E-03,-3.92746267607436E-04
0.26,1.06948800384998E-02,7.77591951191425E-03,-3.98867879994214E-04
