Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
14.9,-2.2806461493019E-04,1.03962865978247E-05,-1.08813801489305E-05
15,-2.27733849897049E-04,1.050810169545E-05,-1.15802913569496E-05
15.1,-2.22214148379862E-04,9.9681165011134E-06,-1.1552977412066E-05
15.2,-2.1354595082812E-04,8.4210896602599E-06,-1.03798156487755E-05
15.3,-2.04402022063732E-04,5.71472946830909E-06,-7.86682630860014E-06
15.4,-1.97616303921677E-04,1.92879019778047E-06,-4.08175310440129E-06
15.5,-1.95673652342521E-04,-2.63433867075946E-06,6.53939139283466E-07
15.6,-2.00254304218106E-04,-7.49865102989133E-06,5.81814128963742E-06
15.7,-2.11918391869403E-04,-1.20915965453605E-05,1.07743844637298E-05
15.8,-2.29973826208152E-04,-1.58402053784812E-05,1.48791614265065E-05
15.9,-2.52550322329625E-04,-1.82680087164044E-05,1.7591955838725E-05
16,-2.76877428404987E-04,-1.90778100659372E-05,1.85728367796401E-05
16.1,-2.9971866752021E-04,-1.82055719051277E-05,1.772987707227E-05
16.2,-3.17876692861319E-04,-1.58380807988578E-05,1.52610900840955E-05
16.3,-3.28716792864725E-04,-1.23893896670779E-05,1.16140081445337E-05
16.4,-3.30590992234647E-04,-8.44095120555721E-06,7.42238989914767E-06
16.5,-3.23110143654048E-04,-4.6550499064324E-06,3.40564724865544E-06
16.6,-3.0721866642125E-04,-1.6740326600484E-06,2.68678121528865E-07
16.7,-2.85051937680691E-04,-2.36046595603057E-08,-1.44167700000253E-06
16.8,-2.59604043094441E-04,-3.41597505837399E-08,-1.34541062379867E-06
16.9,-2.34261227888055E-04,-1.79306687186909E-06,6.39994766515883E-07
17,-2.12274040677585E-04,-5.13605891683255E-06,4.27398117608391E-06
17.1,-1.96253837202676E-04,-9.67844516708283E-06,9.13689018489095E-06
17.2,-1.87784346053377E-04,-1.48803073898307E-05,1.46248685268802E-05
17.3,-1.87196012120694E-04,-2.01364091481082E-05,2.00712838704931E-05
17.4,-1.93554966244847E-04,-2.48739033850143E-05,2.48565265792422E-05
17.5,-2.04853728064336E-04,-2.86443555523874E-05,2.85084952338366E-05
17.6,-2.18382148887031E-04,-3.11923940898851E-05,3.07752889057156E-05
17.7,-2.31206126045436E-04,-3.24921602441464E-05,3.16695295623504E-05
17.8,-2.40680165006779E-04,-3.27445159200579E-05,3.14426470140461E-05
17.9,-2.44904425926507E-04,-3.23363237839658E-05,3.05514658975881E-05
18,-2.43052447331138E-04,-3.17682570312172E-05,2.95721201837296E-05
18.1,-2.35512256040238E-04,-3.15636389132123E-05,2.90567768388428E-05
18.2,-2.23820054088719E-04,-3.21734078170266E-05,2.95530480798334E-05
18.3,-2.1039301645942E-04,-3.38935969921295E-05,3.13430500682443E-05
18.4,-1.98115638340823E-04,-3.68082437489647E-05,3.45248517987784E-05
18.5,-1.89831233001314E-04,-4.07683073717635E-05,3.88509943149984E-05
18.6,-1.87846133485436E-04,-4.54102737421636E-05,4.39288523921277E-05
18.7,-1.93511747056618E-04,-5.02098082506564E-05,4.91698701807763E-05
18.8,-2.0696030696854E-04,-5.45665388926864E-05,5.39141547051258E-05
18.9,-2.27045879000798E-04,-5.78994950046763E-05,5.75365556869656E-05
19,-2.51490506343544E-04,-5.97437174292281E-05,5.95504134253133E-05
19.1,-2.77225888567045E-04,-5.98282240389381E-05,5.96882200625259E-05
19.2,-3.00858402624726E-04,-5.81250278628431E-05,5.79486950300634E-05
19.3,-3.19201004458591E-04,-5.48589378013276E-05,5.45996481378097E-05
19.4,-3.29772767145187E-04,-5.04770941915922E-05,5.01409413118381E-05
19.5,-3.31185176037252E-04,-4.5583914470626E-05,4.52244057669304E-05
19.6,-3.23355750879273E-04,-4.08496853196993E-05,4.05564205721021E-05
19.7,-3.07513284496963E-04,-3.69095760106575E-05,3.67844477295876E-05
19.8,-2.85993155557662E-04,-3.42679522873368E-05,3.44050095009152E-05
19.9,-2.61856446741149E-04,-3.32241652358789E-05,3.36843586410396E-05
20,-2.38397580687888E-04,-3.38311219820753E-05,3.45946646120865E-05
20.1,-2.18618544749916E-04,-3.58940706064459E-05,3.69572335330304E-05
20.2,-2.04761017812416E-04,-3.90082968806382E-05,4.03165722673293E-05
20.3,-1.97964429389685E-04,-4.26308943133336E-05,4.40167423221283E-05
20.4,-1.98117108084261E-04,-4.61739909951575E-05,4.74914268124849E-05
20.5,-2.03911986318417E-04,-4.91033861180767E-05,5.02067086927127E-05
20.6,-2.13104038266465E-04,-5.10276113345753E-05,5.18093729624525E-05
20.7,-2.22925344132818E-04,-5.17616463184822E-05,5.21634210599586E-05
20.8,-2.30578065384179E-04,-5.13553532073274E-05,5.1380557124503E-05
20.9,-2.33740371186286E-04,-5.00818132422864E-05,4.97965265822131E-05
21,-2.30977777391672E-04,-4.83870680909604E-05,4.79095906484872E-05
21.1,-2.22009810386226E-04,-4.68104626634158E-05,4.62961979792453E-05
21.2,-2.07776713068597E-04,-4.58885406260379E-05,4.54967230325565E-05
21.3,-1.90296865184791E-04,-4.60582414234523E-05,4.59361290268134E-05
21.4,-1.72338128322735E-04,-4.75756060041022E-05,4.78307883895468E-05
21.5,-1.56958209117875E-04,-5.04652525705751E-05,5.11213693243917E-05
21.6,-1.46987833431922E-04,-5.45070361113176E-05,5.56507584406063E-05
21.7,-1.44545614602976E-04,-5.92641335970256E-05,6.08106784056872E-05
