*Time (s),Line A (?)
466,3.64E-04
467,-2.30E-05
468,-4.49E-04
469,-8.05E-04
470,-1.01E-03
471,-0.001018614
472,-8.41E-04
473,-5.22E-04
474,-1.54E-04
475,1.48E-04
476,2.81E-04
477,2.09E-04
478,-1.92E-05
479,-3.04E-04
480,-5.40E-04
481,-6.60E-04
482,-6.46E-04
483,-5.18E-04
484,-3.19E-04
485,-1.11E-04
486,4.35E-05
487,8.84E-05
488,9.92E-07
489,-1.96E-04
490,-4.38E-04
491,-6.42E-04
492,-7.36E-04
493,-6.80E-04
494,-4.79E-04
495,-1.79E-04
496,1.40E-04
497,3.93E-04
498,5.21E-04
499,5.13E-04
500,4.08E-04
501,2.76E-04
502,1.81E-04
503,1.66E-04
504,2.39E-04
505,3.81E-04
506,5.56E-04
507,7.20E-04
508,8.31E-04
509,8.59E-04
510,7.92E-04
511,6.47E-04
512,4.65E-04
513,2.93E-04
514,1.78E-04
515,1.40E-04
516,1.77E-04
517,2.56E-04
518,3.34E-04
519,3.63E-04
520,3.09E-04
521,1.64E-04
522,-5.33E-05
523,-3.00E-04
524,-5.23E-04
525,-6.73E-04
526,-7.19E-04
527,-6.52E-04
528,-4.92E-04
529,-2.89E-04
530,-1.12E-04
531,-2.65E-05
532,-6.71E-05
533,-2.12E-04
534,-3.97E-04
535,-5.39E-04
536,-5.81E-04
537,-5.04E-04
538,-3.26E-04
539,-9.23E-05
540,1.35E-04
541,2.94E-04
542,3.34E-04
543,2.39E-04
544,3.51E-05
545,-2.14E-04
546,-4.28E-04
547,-5.36E-04
548,-5.00E-04
549,-3.22E-04
550,-4.27E-05
551,2.63E-04
552,5.03E-04
553,5.94E-04
554,5.00E-04
555,2.50E-04
556,-6.89E-05
557,-3.55E-04
558,-5.26E-04
559,-5.40E-04
560,-3.98E-04
561,-1.30E-04
562,2.06E-04
563,5.33E-04
564,7.55E-04
565,7.89E-04
566,6.08E-04
567,2.66E-04
568,-1.16E-04
569,-4.10E-04
570,-5.28E-04
571,-4.47E-04
572,-2.01E-04
573,1.44E-04
574,5.10E-04
575,8.06E-04
576,9.49E-04
577,8.81E-04
578,6.08E-04
579,2.06E-04
580,-1.99E-04
581,-4.83E-04
582,-5.71E-04
583,-4.53E-04
584,-1.79E-04
585,1.72E-04
586,5.02E-04
587,7.12E-04
588,7.14E-04
589,4.72E-04
590,2.77E-05
591,-5.07E-04
592,-9.92E-04
593,-1.31E-03
594,-1.42E-03
595,-1.31E-03
596,-1.03E-03
597,-6.15E-04
598,-1.68E-04
599,1.81E-04
600,2.91E-04
601,1.17E-04
602,-2.43E-04
603,-5.97E-04
604,-7.70E-04
605,-6.78E-04
606,-3.42E-04
607,1.52E-04
608,6.94E-04
609,1.18E-03
610,1.50E-03
611,1.58E-03
612,1.41E-03
613,1.02E-03
614,5.40E-04
615,8.52E-05
616,-2.30E-04
617,-3.52E-04
618,-2.90E-04
619,-9.95E-05
620,1.45E-04
621,3.71E-04
622,5.10E-04
623,5.04E-04
624,3.12E-04
625,-5.84E-05
626,-5.33E-04
627,-9.84E-04
628,-0.001283199
629,-1.35E-03
630,-1.17E-03
631,-7.91E-04
632,-2.82E-04
633,2.40E-04
634,6.38E-04
635,7.97E-04
636,6.90E-04
637,3.94E-04
638,5.22E-05
639,-2.02E-04
640,-2.94E-04
641,-2.22E-04
642,-3.39E-05
643,2.04E-04
644,4.31E-04
645,5.94E-04
646,6.52E-04
647,5.74E-04
648,3.47E-04
649,-5.27E-06
650,-4.21E-04
651,-8.12E-04
652,-1.09E-03
653,-1.20E-03
654,-1.13E-03
655,-8.91E-04
656,-5.49E-04
657,-1.85E-04
658,1.01E-04
659,2.37E-04
660,2.13E-04
661,8.74E-05
662,-4.96E-05
663,-1.13E-04
664,-5.51E-05
665,1.32E-04
666,4.20E-04
667,7.59E-04
668,1.09E-03
669,1.34E-03
670,1.46E-03
671,1.45E-03
672,1.29E-03
673,1.05E-03
674,7.64E-04
675,4.95E-04
676,2.76E-04
677,1.25E-04
678,3.99E-05
679,1.14E-05
680,2.23E-05
681,4.93E-05
682,6.24E-05
683,2.77E-05
684,-8.22E-05
685,-2.73E-04
686,-5.19E-04
687,-7.72E-04
688,-9.71E-04
689,-1.07E-03
690,-1.05E-03
691,-9.11E-04
692,-7.03E-04
693,-4.86E-04
694,-3.21E-04
695,-2.49E-04
696,-2.75E-04
